,Name,Code,Type,DrainageArea,SubBasin,City,State,Responsible,Latitude,Longitude,StartDate,EndDate,NYD,MD,N_YWOMD,YWMD,geometry
3469,BELVEDERE,81428000,1,34.6,81,JUQUITIBA,SÃO PAULO,DAEE-SP,-23.9678,-46.8992,1981/12/30,1999/12/31,19,1.7,15,21.1,POINT (-5220795.062611896 -2749484.889794937)
3470,ROSAS ,81430500,1,138.0,81,JUQUITIBA,SÃO PAULO,DAEE-SP,-23.9831,-47.0078,1980/08/01,2017/12/31,38,28.7,20,47.4,POINT (-5232884.359312045 -2751348.905976694)
3471,JUQUITIBA,81440000,1,195.0,81,JUQUITIBA,SÃO PAULO,DAEE-SP,-23.94,-47.09,1971/12/07,1987/04/30,17,0.0,14,17.6,POINT (-5242034.821455252 -2746098.550722195)
3472,JUQUITIBA - II,81450000,1,236.0,81,JUQUITIBA,SÃO PAULO,ANA,-23.9339,-47.07,1952/08/07,2007/12/31,56,2.0,46,17.9,POINT (-5239808.431639386 -2745355.6027199267)
3473,JUQUITIBA I,81470000,1,436.0,81,JUQUITIBA,SÃO PAULO,ANA,-23.9389,-47.0964,1951/10/01,1980/02/15,30,0.0,27,10.0,POINT (-5242747.26619633 -2745964.573897203)
3474,CARMOS,81470001,1,460.0,81,JUQUITIBA,SÃO PAULO,DAEE-SP,-23.9411,-47.0997,1981/09/01,1996/10/31,16,10.8,12,25.0,POINT (-5243114.620515947 -2746232.5286891693)
3475,UHE FUMAÇA JUSANTE,81495200,1,1077.0,81,IBIÚNA,SÃO PAULO,CBA,-24.0103,-47.2936,2013/12/15,2017/12/31,5,6.1,0,100.0,POINT (-5264699.469780763 -2754663.2594396444)
3476,UHE BARRA JUSANTE,81496200,1,1451.0,81,TAPIRAÍ,SÃO PAULO,CBA,-24.0283,-47.3567,2013/12/09,2017/12/31,5,6.5,1,80.0,POINT (-5271723.7296498185 -2756856.966933467)
3477,PCH SERRARIA JUSANTE,81499085,1,1731.0,81,JUQUIÁ,SÃO PAULO,CBA,-24.1511,-47.5547,2013/12/13,2017/12/31,5,3.0,0,100.0,POINT (-5293764.988826886 -2771831.1413373146)
3478,UHE JURUPARA JUSANTE,81499200,1,145.0,81,PIEDADE,SÃO PAULO,CBA,-23.9722,-47.3872,2013/12/12,2017/12/31,5,5.1,1,80.0,POINT (-5275118.974119013 -2750020.924061416)
3479,UHE SALTO DO IPORANGA JUSANTE,81501000,1,412.0,81,JUQUIÁ,SÃO PAULO,CBA,-24.1094,-47.6861,2013/12/31,2017/12/31,5,2.5,2,60.0,POINT (-5308392.369917123 -2766744.6533059645)
3480,BAIRRO IPORANGA ,81510000,1,412.0,81,JUQUIÁ,SÃO PAULO,DAEE-SP,-24.1075,-47.6819,1959/04/01,2000/12/31,42,0.4,38,9.5,POINT (-5307924.828055791 -2766512.934342787)
3481,CAPELA DO PORTO,81519000,1,635.0,81,JUQUIÁ,SÃO PAULO,ANA,-24.1742,-47.6536,2004/01/01,2018/03/31,15,0.6,13,13.3,POINT (-5304774.486466341 -2774649.550475355)
3482,ABAIXO CAPELA,81525000,1,639.0,81,JUQUIÁ,SÃO PAULO,ANA,-24.1806,-47.6467,1953/02/26,1980/02/09,28,0.0,26,7.1,POINT (-5304006.381979869 -2775430.4986327644)
3483,BARRA DO AÇUNGUI,81530000,1,2440.0,81,JUQUIÁ,SÃO PAULO,ANA,-24.2064,-47.6133,1951/12/16,2007/12/31,57,2.0,43,24.6,POINT (-5300288.310987373 -2778579.093254154)
3484,BARRA DO AÇUNGUI,81531000,1,2410.0,81,JUQUIÁ,SÃO PAULO,DAEE-SP,-24.1844,-47.6211,1959/01/01,2000/05/31,42,1.0,38,9.5,POINT (-5301156.60301556 -2775894.2051331555)
3485,ABAIXO RIO AÇUNGUI,81532000,1,2440.0,81,JUQUIÁ,SÃO PAULO,DAEE-SP,-24.2069,-47.6122,1972/04/01,1979/04/30,8,0.0,6,25.0,POINT (-5300165.8595475 -2778640.1188232945)
3486,PORTO DA GOIABA,81545000,1,2540.0,81,JUQUIÁ,SÃO PAULO,ANA,-24.2886,-47.6172,2004/01/01,2018/02/28,15,0.7,13,13.3,POINT (-5300722.457001466 -2788614.917258481)
3487,PEDRA DO LARGO,81560000,1,596.0,81,MIRACATU,SÃO PAULO,DAEE-SP,-24.1456,-47.2875,1963/07/25,1994/08/07,32,0.3,28,12.5,POINT (-5264020.4208869245 -2771160.166657453)
3488,BAIRRO IGREJINHA,81575000,1,26.7,81,ITARIRI,SÃO PAULO,DAEE-SP,-24.3308,-47.1853,1955/04/01,1971/11/21,17,0.0,15,11.8,POINT (-5252643.5689278515 -2793769.6516877017)
3489,ITARIRI,81580000,1,73.0,81,ITARIRI,SÃO PAULO,ANA,-24.2889,-47.1772,1937/08/01,2007/12/31,71,3.5,60,15.5,POINT (-5251741.881052426 -2788651.556239583)
3490,GUANHANHA,81585000,1,92.5,81,ITARIRI,SÃO PAULO,DAEE-SP,-24.2719,-47.1658,1959/02/26,2018/05/31,60,1.6,51,15.0,POINT (-5250472.838857383 -2786575.483815706)
3491,PRAIA ALTA,81595000,1,356.0,81,PEDRO DE TOLEDO,SÃO PAULO,ANA,-24.2461,-47.2608,2004/01/01,2018/06/30,15,1.2,13,13.3,POINT (-5261048.190482744 -2783425.2691405728)
3492,BRAÇO GRANDE,81597000,1,214.0,81,PEDRO DE TOLEDO,SÃO PAULO,DAEE-SP,-24.1264,-47.2697,1980/01/01,1999/12/31,20,0.4,18,10.0,POINT (-5262038.933950804 -2768818.0813130476)
3493,ENGENHO ,81598000,1,720.0,81,MIRACATU,SÃO PAULO,DAEE-SP,-24.1814,-47.3717,1981/06/22,2017/12/31,37,13.9,26,29.7,POINT (-5273393.522011717 -2775528.1199062616)
3494,PEDRO BARROS,81600000,1,1260.0,81,MIRACATU,SÃO PAULO,ANA,-24.2489,-47.3744,1937/07/29,2007/12/31,71,0.3,68,4.2,POINT (-5273694.08463686 -2783767.1219852003)
3495,FAU ,81615000,1,69.8,81,MIRACATU,SÃO PAULO,DAEE-SP,-24.2081,-47.4778,1971/12/17,2018/06/30,48,7.6,40,16.7,POINT (-5285204.519984884 -2778786.581166055)
3496,ABAIXO FAU,81620000,1,1460.0,81,MIRACATU,SÃO PAULO,DAEE-SP,-24.2644,-47.4506,1981/06/11,1997/12/31,17,3.5,11,35.3,POINT (-5282176.629835307 -2785659.6578231896)
3497,MIRACATU,81630000,1,1480.0,81,MIRACATU,SÃO PAULO,ANA,-24.2811,-47.4606,1951/12/09,2007/12/31,57,0.9,53,7.0,POINT (-5283289.824743239 -2787698.9708637004)
3498,VILA SÃO JOSÉ,81640000,1,127.0,81,MIRACATU,SÃO PAULO,DAEE-SP,-24.3194,-47.5089,1971/12/07,1979/12/31,9,9.8,4,55.6,POINT (-5288666.556148554 -2792376.971391181)
3499,SÍTIO JABORANDI ,81650000,1,1760.0,81,JUQUIÁ,SÃO PAULO,DAEE-SP,-24.3092,-47.5767,1961/12/15,2001/07/31,41,2.4,35,14.6,POINT (-5296214.017624339 -2791130.9951667394)
3500,JUQUIÁ,81679000,1,4360.0,81,JUQUIÁ,SÃO PAULO,ANA,-24.3206,-47.625,1987/10/01,2017/12/31,31,15.5,20,35.5,POINT (-5301590.749029654 -2792523.5634189043)
3501,JUQUIÁ 1,81680000,1,4360.0,81,JUQUIÁ,SÃO PAULO,ANA,-24.3225,-47.635,1937/01/01,1980/02/09,44,0.0,43,2.3,POINT (-5302703.943937587 -2792755.6703006527)
